Years,Population,VMT(Billions),Fatalities
1970,488738,3.46,257
1971,520018,3.623,269
1972,546736,3.889,259
1973,568910,4.281,267
1974,596713,4.195,216
1975,619847,4.439,221
1976,646823,4.89,218
1977,678134,5.298,251
1978,719345,5.75,305
1979,765121,5.89,354
1980,810215,6.107,346
1981,847656,6.515,294
1982,881538,6.413,280
1983,901978,6.872,253
1984,924921,7.332,249
1985,951032,7.566,259
1986,980614,7.986,233
1987,1023374,8.396,262
1988,1075023,8.989,286
1989,1137382,9.392,308
1990,1220695,10.205,343
1991,1296171,10.51,298
1992,1351367,10.897,254
1993,1411215,11.624,263
1994,1499298,13.019,294
1995,1581578,13.974,313
1996,1666320,15.993,348
1997,1764104,16.309,347
1998,1853191,16.486,361
1999,1934718,17.39,350
2000,2018741,17.639,323
2001,2098399,18.309,314
2002,2173791,17.966,381
2003,2248850,19.301,368
2004,2346222,20.248,395
2005,2432143,20.776,427
2006,2522658,21.824,431
2007,2601072,22.146,373
2008,2653630,20.78,324
2009,2684665,20.454,243
2010,2703493,20.2014,257
2011,2718586,24.1893,246
2012,2755245,24.1483,258
2013,2791494,24.6494,262
2014,2839099,25.4371,291
2015,2891398,25.0788,321
